,,OP-TEE,,,,,OP-TEE with Lark,,,,
SHA256,,,,,,,,,,,
buffer size (Byte),,mean of 1000 times (us),,,AVG (us),,mean of 1000 times (us),,,AVG (us),
256,,847.553,842.198,848.938,846.2296667,,859.767,872.631,869.664,867.354,
512,,840.685,853.08,857.469,850.4113333,,875.166,867.993,865.746,869.635,
1024,,862.082,864.305,872.905,866.4306667,,886.216,881.983,879.046,882.415,
2048,,905.915,917.432,910.549,911.2986667,,936.631,931.771,940.15,936.184,
4096,,991.959,983.003,991.959,988.9736667,,1025.49,988.985,1040.4,1018.291667,
8192,,1156.81,1163.51,1165.87,1162.063333,,1170.61,1167.56,1175.48,1171.216667,
16384,,1473.84,1497.51,1485.22,1485.523333,,1489.51,1503.33,1491.13,1494.656667,
,,,,,,,,,,,
AES-256 encryption,,,,,,,,,,,
buffer size (Byte),,mean of 1000 times (us),,,AVG (us),,mean of 1000 times (us),,,AVG (us),
256,,826.018,829.219,839.301,831.5126667,,843.144,839.391,850.193,844.2426667,
512,,855.107,849.499,873.251,859.2856667,,876.854,861.888,854.349,864.3636667,
1024,,913.244,910.434,898.145,907.2743333,,901.992,901.662,910.346,904.6666667,
2048,,1010.04,995.327,1000.37,1001.912333,,1001.99,1003.34,1017.35,1007.56,
4096,,1193.39,1195.77,1190.2,1193.12,,1188.14,1210.45,1204.42,1201.003333,
8192,,1595.52,1578.79,1583.03,1585.78,,1602.1,1610.1,1593.46,1601.886667,
16384,,2311.54,2334.61,2281.32,2309.156667,,2321.84,2351.75,2353.14,2342.243333,
,,,,,,,,,,,
Secure storage,,,,,,,,,,,
data-size (Byte),,write (mean of 50 times) (kB/s),read (mean of 50 times) (kB/s),,Total (kB/s),,write (mean of 50 times) (kB/s),read (mean of 50 times) (kB/s),,Total (kB/s),
256,,135.963,96.509,,232.472,,132.387,96.175,,228.562,
512,,136.766,99.032,,235.798,,133.386,96.77,,230.156,
1024,,136.577,98.447,,235.024,,133.613,97.562,,231.175,
2048,,138.107,101.642,,239.749,,134.898,100.071,,234.969,
4096,,143.036,104.746,,247.782,,139.335,103.052,,242.387,
8192,,147.637,106.753,,254.39,,143.331,106.928,,250.259,
16384,,149.529,110.032,,259.561,,145.178,110.31,,255.488,
,,,,,,,,,,,
